ref,id,name,stage,recipe,fps,loop,xp_mode
E01,plain-egg,"Plain Egg",egg,BREATHE,5,pingpong,crack
E02,speckled-egg,"Speckled Egg",egg,BREATHE,5,pingpong,crack
E03,nimbus-egg,"Nimbus Egg",egg,BREATHE,4,pingpong,crack
E04,geminae-egg,"Geminae Egg",egg,PULSE,6,pingpong,crack
E05,frostflake-egg,"Frostflake Egg",egg,PULSE,4,pingpong,crack
E06,mosscap-egg,"Mosscap Egg",egg,BREATHE,6,pingpong,crack
E07,marbled-egg,"Marbled Egg",egg,BREATHE,8,loop,crack
E08,veined-egg,"Veined Egg",egg,BREATHE,5,pingpong,crack
E09,glowspot-egg,"Glowspot Egg",egg,PULSE,6,loop,crack
E10,emberheart-egg,"Emberheart Egg",egg,PULSE,7,pingpong,crack
E11,halo-egg,"Halo Egg",egg,BREATHE,6,pingpong,crack
E12,faultline-egg,"Faultline Egg",egg,BREATHE,6,pingpong,crack
E13,marblewhorl-egg,"Marblewhorl Egg",egg,BOB,4,pingpong,crack
E14,cowl-egg,"Cowl Egg",egg,BREATHE,4,pingpong,crack
E15,lanternstone-egg,"Lanternstone Egg",egg,PULSE,6,pingpong,crack
E16,netshell-egg,"Netshell Egg",egg,BOB,7,pingpong,crack
E17,plume-egg,"Plume Egg",egg,BREATHE,7,pingpong,crack
E18,prismstone-egg,"Prismstone Egg",egg,PULSE,6,pingpong,crack
E19,starchart-egg,"Starchart Egg",egg,PULSE,4,pingpong,crack
E20,tallow-egg,"Tallow Egg",egg,BOB,7,pingpong,crack
E21,bracken-egg,"Bracken Egg",egg,BREATHE,6,pingpong,crack
E22,ripplecore-egg,"Ripplecore Egg",egg,PULSE,7,pingpong,crack
E23,ashfade-egg,"Ashfade Egg",egg,BREATHE,4,pingpong,crack
E24,ironvein-egg,"Ironvein Egg",egg,BREATHE,5,pingpong,crack
E25,lattice-egg,"Lattice Egg",egg,BREATHE,4,pingpong,crack
E26,coronet-egg,"Coronet Egg",egg,BREATHE,6,pingpong,crack
E27,cloudmark-egg,"Cloudmark Egg",egg,BOB,5,pingpong,crack
E28,swirlstone-egg,"Swirlstone Egg",egg,BREATHE,7,pingpong,crack
E29,grainshell-egg,"Grainshell Egg",egg,BOB,6,pingpong,crack
E30,aureole-egg,"Aureole Egg",egg,BREATHE,5,pingpong,crack
E31,threadvein-egg,"Threadvein Egg",egg,BREATHE,4,pingpong,crack
E32,diadem-egg,"Diadem Egg",egg,BREATHE,5,pingpong,crack
E33,riftshell-egg,"Riftshell Egg",egg,BREATHE,5,pingpong,crack
E34,sunspire-egg,"Sunspire Egg",egg,PULSE,5,pingpong,crack
E35,inkdip-egg,"Inkdip Egg",egg,BREATHE,5,pingpong,crack
E36,waning-egg,"Waning Egg",egg,BREATHE,7,pingpong,crack
E37,burrshell-egg,"Burrshell Egg",egg,BREATHE,5,pingpong,crack
E38,bullseye-egg,"Bullseye Egg",egg,PULSE,4,pingpong,crack
E39,fluted-egg,"Fluted Egg",egg,BREATHE,6,pingpong,crack
E40,quail-egg,"Quail Egg",egg,BREATHE,7,pingpong,crack
E41,spotted-egg,"Spotted Egg",egg,BREATHE,5,pingpong,crack
E42,barnacle-egg,"Barnacle Egg",egg,BREATHE,6,pingpong,crack
E43,serpenteye-egg,"Serpenteye Egg",egg,PULSE,5,pingpong,crack
E44,bindweed-egg,"Bindweed Egg",egg,BREATHE,5,pingpong,crack
E45,carapace-egg,"Carapace Egg",egg,BREATHE,7,pingpong,crack
E46,ridgeback-egg,"Ridgeback Egg",egg,BREATHE,4,pingpong,crack
E47,seafoam-egg,"Seafoam Egg",egg,BREATHE,4,pingpong,crack
E48,vitrine-egg,"Vitrine Egg",egg,PULSE,4,pingpong,crack
E49,knotmesh-egg,"Knotmesh Egg",egg,PULSE,7,pingpong,crack
E50,paperlantern-egg,"Paperlantern Egg",egg,PULSE,7,pingpong,crack
G01,grub,"Grub",grub,WOBBLE,7,pingpong,grow
G02,grub-tubby,"Tubby Grub",grub,BOB,6,pingpong,grow
G03,grub-thread,"Thread Grub",grub,SWAY,8,pingpong,grow
G04,grub-spined,"Spined Grub",grub,WOBBLE,6,pingpong,grow
G05,grub-curled,"Curled Grub",grub,BREATHE,5,pingpong,grow
G06,grub-humped,"Humped Grub",grub,BOB,6,pingpong,grow
G07,grub-ribbed,"Ribbed Grub",grub,WOBBLE,7,pingpong,grow
G08,grub-spotted,"Spotted Grub",grub,BOB,5,pingpong,grow
G09,grub-bristle,"Bristle Grub",grub,WOBBLE,8,loop,grow
G10,grub-armored,"Armored Grub",grub,SWAY,5,pingpong,grow
G11,grub-glowback,"Glowback Grub",grub,PULSE,6,loop,grow
G12,grub-thorned,"Thorned Grub",grub,WOBBLE,6,pingpong,grow
G13,grub-sleek,"Sleek Grub",grub,BOB,6,pingpong,grow
G14,grub-mite,"Mite Grub",grub,WOBBLE,8,pingpong,grow
G15,grub-tusked,"Tusked Grub",grub,BOB,5,pingpong,grow
G16,grub-frilled,"Frilled Grub",grub,SWAY,6,pingpong,grow
G17,grub-crested,"Crested Grub",grub,BOB,6,pingpong,grow
G18,grub-royal,"Royal Grub",grub,BREATHE,5,pingpong,grow
G19,grub-blind,"Blind Grub",grub,SWAY,7,pingpong,grow
G20,grub-dorsal,"Dorsal Grub",grub,WOBBLE,6,pingpong,grow
G21,grub-molting,"Molting Grub",grub,BREATHE,5,pingpong,grow
G22,grub-gemmed,"Gemmed Grub",grub,PULSE,6,pingpong,grow
G23,grub-pillar,"Pillar Grub",grub,BOB,6,pingpong,grow
G24,grub-serpent,"Serpent Grub",grub,SWAY,7,pingpong,grow
G25,grub-cinched,"Cinched Grub",grub,BREATHE,5,pingpong,grow
G26,grub-banana,"Banana Grub",grub,WOBBLE,6,pingpong,grow
G27,grub-bulbous,"Bulbous Grub",grub,BREATHE,5,pingpong,grow
G28,grub-tailed,"Tailed Grub",grub,WOBBLE,7,pingpong,grow
G29,grub-recumbent,"Recumbent Grub",grub,BOB,5,pingpong,grow
G30,grub-kinked,"Kinked Grub",grub,SWAY,6,pingpong,grow
G31,grub-footed,"Footed Grub",grub,WOBBLE,7,pingpong,grow
G32,grub-spindle,"Spindle Grub",grub,BOB,6,pingpong,grow
G33,grub-hooked,"Hooked Grub",grub,SWAY,6,pingpong,grow
G34,grub-twinlobe,"Twinlobe Grub",grub,PULSE,6,pingpong,grow
G35,grub-acorn,"Acorn Grub",grub,BOB,5,pingpong,grow
G36,grub-comet,"Comet Grub",grub,SWAY,7,pingpong,grow
G37,grub-knuckled,"Knuckled Grub",grub,WOBBLE,7,pingpong,grow
G38,grub-broadback,"Broadback Grub",grub,BOB,5,pingpong,grow
G39,grub-warty,"Warty Grub",grub,WOBBLE,6,pingpong,grow
G40,grub-lantern,"Lantern Grub",grub,PULSE,6,pingpong,grow
G41,grub-plated,"Plated Grub",grub,BOB,5,pingpong,grow
G42,grub-whisker,"Whisker Grub",grub,SWAY,8,pingpong,grow
G43,grub-saddleback,"Saddleback Grub",grub,BREATHE,5,pingpong,grow
G44,grub-pebble,"Pebble Grub",grub,BREATHE,4,pingpong,grow
G45,grub-stilted,"Stilted Grub",grub,SWAY,6,pingpong,grow
G46,grub-forked,"Forked Grub",grub,WOBBLE,6,pingpong,grow
G47,grub-flask,"Flask Grub",grub,BREATHE,5,pingpong,grow
G48,grub-loop,"Loop Grub",grub,WOBBLE,6,pingpong,grow
G49,grub-hooktail,"Hooktail Grub",grub,SWAY,6,pingpong,grow
G50,grub-weaver,"Weaver Grub",grub,SWAY,7,pingpong,grow
G51,grub-eared,"Eared Grub",grub,BOB,5,pingpong,grow
G52,grub-pyriform,"Pyriform Grub",grub,BREATHE,4,pingpong,grow
G53,grub-chevron,"Chevron Grub",grub,BOB,6,pingpong,grow
G54,grub-dappled,"Dappled Grub",grub,WOBBLE,7,pingpong,grow
G55,grub-tshape,"Tee Grub",grub,BOB,5,pingpong,grow
G56,grub-waisted,"Waisted Grub",grub,BREATHE,5,pingpong,grow
G57,grub-blotched,"Blotched Grub",grub,WOBBLE,6,pingpong,grow
G58,grub-horned,"Horned Grub",grub,BOB,6,pingpong,grow
G59,grub-spiral,"Spiral Grub",grub,SWAY,6,pingpong,grow
G60,grub-laced,"Laced Grub",grub,BREATHE,5,pingpong,grow
G61,grub-twinhead,"Twinhead Grub",grub,WOBBLE,7,pingpong,grow
G62,grub-ringed,"Ringed Grub",grub,BOB,6,pingpong,grow
G63,grub-caterpillar,"Caterpillar Grub",grub,WOBBLE,8,pingpong,grow
G64,grub-quadfoot,"Quadfoot Grub",grub,BOB,6,pingpong,grow
G65,grub-ripple,"Ripple Grub",grub,SWAY,7,pingpong,grow
G66,grub-orb,"Orb Grub",grub,PULSE,5,pingpong,grow
G67,grub-cone,"Cone Grub",grub,BOB,5,pingpong,grow
G68,grub-cinch,"Cinch Grub",grub,BREATHE,5,pingpong,grow
G69,grub-slalom,"Slalom Grub",grub,SWAY,7,pingpong,grow
G70,grub-crook,"Crook Grub",grub,SWAY,6,pingpong,grow
G71,grub-bossed,"Bossed Grub",grub,WOBBLE,6,pingpong,grow
G72,grub-fluted,"Fluted Grub",grub,BOB,6,pingpong,grow
G73,grub-shaded,"Shaded Grub",grub,BREATHE,4,pingpong,grow
G74,grub-zag,"Zag Grub",grub,SWAY,7,pingpong,grow
G75,grub-mailed,"Mailed Grub",grub,BOB,5,pingpong,grow
G76,grub-cobbled,"Cobbled Grub",grub,WOBBLE,7,pingpong,grow
G77,grub-yoked,"Yoked Grub",grub,BOB,5,pingpong,grow
G78,grub-beaded,"Beaded Grub",grub,WOBBLE,6,pingpong,grow
G79,grub-scroll,"Scroll Grub",grub,SWAY,6,pingpong,grow
G80,grub-noded,"Noded Grub",grub,BREATHE,5,pingpong,grow
G81,grub-panelled,"Panelled Grub",grub,BOB,6,pingpong,grow
G82,grub-tufted,"Tufted Grub",grub,WOBBLE,7,pingpong,grow
G83,grub-drifted,"Drifted Grub",grub,SWAY,6,pingpong,grow
G84,grub-clasped,"Clasped Grub",grub,BOB,5,pingpong,grow
G85,grub-tapered,"Tapered Grub",grub,BREATHE,5,pingpong,grow
G86,grub-barbed,"Barbed Grub",grub,WOBBLE,6,pingpong,grow
G87,grub-sickle,"Sickle Grub",grub,SWAY,6,pingpong,grow
G88,grub-splitface,"Platehead Grub",grub,BOB,6,pingpong,grow
G89,grub-forkhead,"Forkhead Grub",grub,WOBBLE,7,pingpong,grow
G90,grub-studded,"Studded Grub",grub,BOB,6,pingpong,grow
G91,grub-pleated,"Pleated Grub",grub,WOBBLE,7,pingpong,grow
G92,grub-corded,"Corded Grub",grub,BREATHE,5,pingpong,grow
G93,grub-ridgeback,"Ridgeback Grub",grub,BOB,6,pingpong,grow
G94,grub-yolked,"Yolked Grub",grub,WOBBLE,6,pingpong,grow
G95,grub-lobed,"Lobed Grub",grub,BREATHE,5,pingpong,grow
G96,grub-scythe,"Scythe Grub",grub,SWAY,6,pingpong,grow
G97,grub-woven,"Woven Grub",grub,WOBBLE,7,pingpong,grow
G98,grub-meander,"Meander Grub",grub,SWAY,7,pingpong,grow
G99,grub-nodule,"Nodule Grub",grub,BOB,5,pingpong,grow
G100,grub-columned,"Lanternbelly Grub",grub,PULSE,5,pingpong,grow
P01,silkspindle-cocoon,"Silkspindle Cocoon",pupa,SWAY,3,pingpong,crack
P02,threadwrap-chrysalis,"Threadwrap Chrysalis",pupa,SWAY,4,pingpong,crack
P03,ringed-cocoon,"Ringed Cocoon",pupa,BREATHE,5,pingpong,crack
P04,wingcase-chrysalis,"Wingcase Chrysalis",pupa,BREATHE,3,pingpong,crack
P05,gilded-chrysalis,"Gilded Chrysalis",pupa,PULSE,4,pingpong,crack
P06,dewsilk-cocoon,"Dewsilk Cocoon",pupa,BREATHE,5,pingpong,crack
P07,crystalis-chrysalis,"Crystalis Chrysalis",pupa,PULSE,3,pingpong,crack
P08,mossbound-cocoon,"Mossbound Cocoon",pupa,BREATHE,4,pingpong,crack
P09,veilmembrane-chrysalis,"Veilmembrane Chrysalis",pupa,BREATHE,5,pingpong,crack
P10,thornshell-chrysalis,"Thornshell Chrysalis",pupa,BREATHE,3,pingpong,crack
P11,watcher-chrysalis,"Watcher Chrysalis",pupa,PULSE,4,pingpong,crack
P12,chromepupa-chrysalis,"Chromepupa Chrysalis",pupa,BREATHE,5,pingpong,crack
P13,flasksilk-cocoon,"Flasksilk Cocoon",pupa,SWAY,3,pingpong,crack
P14,acorn-chrysalis,"Acorn Chrysalis",pupa,BREATHE,4,pingpong,crack
P15,quiltsilk-cocoon,"Quiltsilk Cocoon",pupa,BREATHE,5,pingpong,crack
P16,fluted-chrysalis,"Fluted Chrysalis",pupa,SWAY,3,pingpong,crack
P17,beadchain-chrysalis,"Beadchain Chrysalis",pupa,PULSE,4,pingpong,crack
P18,hoarsilk-cocoon,"Hoarsilk Cocoon",pupa,BREATHE,5,pingpong,crack
P19,combcell-cocoon,"Combcell Cocoon",pupa,BREATHE,3,pingpong,crack
P20,seamglow-chrysalis,"Seamglow Chrysalis",pupa,PULSE,4,pingpong,crack
P21,hornwrap-chrysalis,"Hornwrap Chrysalis",pupa,SWAY,5,pingpong,crack
P22,curlvein-chrysalis,"Curlvein Chrysalis",pupa,BREATHE,3,pingpong,crack
P23,twinlobe-cocoon,"Twinlobe Cocoon",pupa,BREATHE,4,pingpong,crack
P24,mirrorpupa-chrysalis,"Mirrorpupa Chrysalis",pupa,PULSE,5,pingpong,crack
P25,acorngild-chrysalis,"Acorngild Chrysalis",pupa,PULSE,3,pingpong,crack
P26,lacework-cocoon,"Lacework Cocoon",pupa,SWAY,4,pingpong,crack
P27,ribbed-cocoon,"Ribbed Cocoon",pupa,BREATHE,5,pingpong,crack
P28,marblesilk-cocoon,"Marblesilk Cocoon",pupa,BREATHE,3,pingpong,crack
P29,speckled-cocoon,"Speckled Cocoon",pupa,BREATHE,4,pingpong,crack
P30,tigersilk-cocoon,"Tigersilk Cocoon",pupa,BREATHE,5,pingpong,crack
P31,corering-chrysalis,"Corering Chrysalis",pupa,PULSE,3,pingpong,crack
P32,husk-cocoon,"Husk Cocoon",pupa,BREATHE,4,pingpong,crack
P33,shroud-chrysalis,"Shroud Chrysalis",pupa,SWAY,5,pingpong,crack
P34,nodepod-chrysalis,"Nodepod Chrysalis",pupa,PULSE,3,pingpong,crack
P35,duskband-chrysalis,"Duskband Chrysalis",pupa,BREATHE,4,pingpong,crack
P36,filigree-cocoon,"Filigree Cocoon",pupa,BREATHE,5,pingpong,crack
P37,keelglass-chrysalis,"Keelglass Chrysalis",pupa,PULSE,3,pingpong,crack
P38,gourdvein-cocoon,"Gourdvein Cocoon",pupa,BREATHE,4,pingpong,crack
